id,category,file,title,publisher,doc_number,published,pages,source_url,landing_page,sha256_12,notes
S01,safety,safety/osha3120_lockout_tagout.pdf,Control of Hazardous Energy (Lockout/Tagout),U.S. Dept. of Labor OSHA,OSHA 3120,2002 (Revised),45,https://www.osha.gov/sites/default/files/publications/osha3120.pdf,https://www.osha.gov/publications/publication-products?publication_title=3120,3ea7380fa108,Guidance booklet on the LOTO standard
S02,safety,safety/cfr_29_1910_147_control_of_hazardous_energy.pdf,29 CFR 1910.147 The Control of Hazardous Energy (Lockout/Tagout),U.S. Government Publishing Office (govinfo),29 CFR 1910.147,2024 edition (CFR annual),9,https://www.govinfo.gov/content/pkg/CFR-2024-title29-vol5/pdf/CFR-2024-title29-vol5-sec1910-147.pdf,https://www.ecfr.gov/current/title-29/section-1910.147,5ea266485454,The binding rule text; S01 is the guidance on it
S03,safety,safety/osha3170_machine_guarding_amputations.pdf,Safeguarding Equipment and Protecting Employees from Amputations,U.S. Dept. of Labor OSHA,OSHA 3170-02R,2007,60,https://www.osha.gov/sites/default/files/publications/osha3170.pdf,https://www.osha.gov/publications/publication-products?publication_title=3170,fab230fb8ab5,Machine guarding for presses shears conveyors saws etc.
S04,safety,safety/osha3151_personal_protective_equipment.pdf,Personal Protective Equipment,U.S. Dept. of Labor OSHA,OSHA 3151-02R,2023,46,https://www.osha.gov/sites/default/files/publications/osha3151.pdf,https://www.osha.gov/publications/publication-products?publication_title=3151,1d6cf79ee848,Hazard assessment and PPE selection
S05,safety,safety/osha3138_permit_required_confined_spaces.pdf,Permit-Required Confined Spaces,U.S. Dept. of Labor OSHA,OSHA 3138-01R,2004,23,https://www.osha.gov/sites/default/files/publications/osha3138.pdf,https://www.osha.gov/publications/publication-products?publication_title=3138,20bdcbea190b,Entry permits attendants rescue
S06,safety,safety/osha3074_hearing_conservation.pdf,Hearing Conservation,U.S. Dept. of Labor OSHA,OSHA 3074,2002 (Revised),32,https://www.osha.gov/sites/default/files/publications/osha3074.pdf,https://www.osha.gov/publications/publication-products?publication_title=3074,2a62fa4cf70b,Noise monitoring audiometric testing hearing protection
S07,safety,safety/osha3075_electrical_safety.pdf,Controlling Electrical Hazards,U.S. Dept. of Labor OSHA,OSHA 3075,2002 (Revised),71,https://www.osha.gov/sites/default/files/publications/osha3075.pdf,https://www.osha.gov/publications/publication-products?publication_title=3075,e32343de2132,Electrical safety-related work practices
S08,safety,safety/osha3695_hazard_communication.pdf,Hazard Communication: Small Entity Compliance Guide for Employers That Use Hazardous Chemicals,U.S. Dept. of Labor OSHA,OSHA 3695-03,2014,48,https://www.osha.gov/sites/default/files/publications/OSHA3695.pdf,https://www.osha.gov/publications/publication-products?publication_title=3695,f0f960b9a2c0,SDS labels GHS training
M01,maintenance,maintenance/pnnl_19634_om_best_practices_full.pdf,Operations & Maintenance Best Practices: A Guide to Achieving Operational Efficiency (Release 3.0),Pacific Northwest National Laboratory for DOE FEMP,PNNL-19634,August 2010,321,https://www.pnnl.gov/main/publications/external/technical_reports/PNNL-19634.pdf,https://www.osti.gov/biblio/1034595,7ed46c10e773,Program-level O&M: predictive maintenance and equipment chapters (motors pumps compressors boilers)
M02,maintenance,maintenance/nasa_rcm_guide_facilities_2008.pdf,Reliability-Centered Maintenance Guide for Facilities and Collateral Equipment,NASA,NASA RCM Guide,September 2008,472,https://www.nasa.gov/wp-content/uploads/2023/06/nasa-rcmguide.pdf,https://www.nasa.gov/wp-content/uploads/2023/06/nasa-rcmguide.pdf,2d5752842bcc,RCM methodology and condition monitoring
M03,maintenance,maintenance/gates_belt_drive_preventive_maintenance_manual.pdf,Belt Drive Preventive Maintenance & Safety Manual,Gates Corporation,Gates form 14995 (1/2015),2015,70,https://www.gatesaustralia.com.au/~/media/files/gates/industrial/power-transmission/manuals/preventive-maintenance-safety-for-belt-drives-old.pdf,https://www.gates.com/content/dam/documents-library/operating-manuals/preventive-maintenance-manual-en.pdf,046256718cf7,Downloaded from Gates Australia mirror; gates.com URL blocks scripted downloads but opens in a browser
M04,maintenance,maintenance/baldor_mn408_ac_induction_motor_manual.pdf,Baldor-Reliance Integral Horsepower AC Induction Motors Installation and Operating Manual,ABB Motors and Mechanical (Baldor-Reliance),MN408,January 2021,36,https://library.e.abb.com/public/1b412697e30b440b9d3a8c5833ae3309/MN408.pdf,https://library.e.abb.com/public/1b412697e30b440b9d3a8c5833ae3309/MN408.pdf,c6e02243a261,Motor install lubrication troubleshooting
M05,maintenance,maintenance/goulds_3196_iframe_pump_iom.pdf,Installation Operation and Maintenance Manual Model 3196 i-FRAME,ITT Goulds Pumps,IOM 3196 i-FRAME,2024 (rev 2024-06),172,https://www.gouldspumps.com/getmedia/62837e9b-ee18-46dd-87ba-c65f27d95ed3/IOM_3196i-FRAME.pdf,https://www.gouldspumps.com/getmedia/62837e9b-ee18-46dd-87ba-c65f27d95ed3/IOM_3196i-FRAME.pdf,b614495e4dbe,ANSI process pump IOM
M06,maintenance,maintenance/skf_bearing_damage_failure_analysis.pdf,Bearing Damage and Failure Analysis,SKF Group,PUB BU/I3 14219/3 EN,June 2025,106,https://cdn.skfmediahub.skf.com/api/public/093168a92d25cc46/pdf_preview_medium/093168a92d25cc46_pdf_preview_medium.pdf,https://cdn.skfmediahub.skf.com/api/public/093168a92d25cc46/pdf_preview_medium/093168a92d25cc46_pdf_preview_medium.pdf,f9474ccf8b48,ISO 15243 failure modes inspection
M07,maintenance,maintenance/rockwell_powerflex_520_drive_user_manual.pdf,PowerFlex 520-series Adjustable Frequency AC Drive User Manual,Rockwell Automation (Allen-Bradley),520-UM001O-EN-E,September 2025,274,https://literature.rockwellautomation.com/idc/groups/literature/documents/um/520-um001_-en-e.pdf,https://literature.rockwellautomation.com/idc/groups/literature/documents/um/520-um001_-en-e.pdf,b9445a63c788,VFD install parameters fault codes
M08,maintenance,maintenance/quincy_qgs_rotary_screw_compressor_manual.pdf,Quincy Oil-injected Rotary Screw Compressors QGS 10 / QGS 15 / QGS 20S Instruction Book,Quincy Compressor,No. 2920 7113 40,March 2017,96,https://www.compressorworld.com/assets/QGS10-20SInstructionManual.pdf,https://www.quincycompressor.com/,6ff65ccc2358,Downloaded from a distributor mirror of the Quincy manual
